id,name
1oyb7oym5nwzny8vxf03szd2h,Club Brugge
4dtif7outbuivua8umbwegoo5,FCV Dender
8y3iucyxguipljcmf87a11bk9,Gent
89xivtxk59uzvhdsd6miao6tm,Genk
1uk609mhtsfhokhaewjapb26,KV Kortrijk
b7jmo07lqav0wfe2mtlzyspak,KV Mechelen
2nhn3ikl1ciq34w3hcp883d6p,Westerlo
cyrrlv6l1onld5x247w1q1jlr,Beerschot
bw9wm8pqfzcchumhiwdt2w15c,OH Leuven
6vyr13j6kbwdtxjwm1m4m8nu2,Anderlecht
7zibyotq1x1hq6pmgibhr0e6s,Antwerp
920raeoumft3q2wmvc296uceo,Charleroi
5z1b7fuvpqe6vnigvopomvecu,Standard Liege
ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise
2989v3kho9h5jaboe1nr7lx21,Sint-Truidense
9njsy633rh1tyri7l2jaju5o,KAS Eupen
2b57rbw94i9ohnbch52owvqtq,Oostende
jb4xejoxjfk5a0a50bo8hvst,RFC Seraing
547zzwqbiugzphhnrhj3z5k5i,Zulte Waregem
4kzh86nfubfwsjzerl9pz73kl,RWD Molenbeek
75b9wl3zixoytzcmvwavlp46i,La Louviere
3czravw89omgc9o4s0w3l1bg5,Athletic Bilbao
2l0ldgiwsgb8d6y3z0sfgjzyj,Osasuna
3krm0f4yr1l80j1sd7823f9xn,Leganes
4ku8o6uf87yd8iecdalipo6wd,Atletico Madrid
4dtdjgnpdq9uw4sdutti0vaar,Alaves
agh9ifb2mw3ivjusgedj7c3fe,Barcelona
1n1j0wsl763lq7ee1k0c11c02,Getafe
7h7eg7q7dbwvzww78h9d5eh0h,Girona
3budh3j9xivsid3ptm8ptpy4k,Vallecano
ah8dala7suqqkj04n2l8xz4zd,Betis
6f27yvbqcngegwsg2ozxxdj4,Celta Vigo
50x1m4u58lffhq6v6ga1hbxmy,Mallorca
3kq9cckrnlogidldtdie2fkbl,Real Madrid
63f5h8t5e9qm1fqmvfkb23ghh,Real Sociedad
4jelr92fsge73q39is6qvhxb3,Valladolid
c8llrezkm3b3op4afrou6b487,Espanyol
10eyb18v5puw4ez03ocaug09m,Sevilla
1ae3awgwm3i1jds5tfct5441j,Las Palmas
ba5e91hjacvma2sjvixn00pjo,Valencia
74mcjsm72vr3l9pw2i4qfjchj,Villareal
4yg9ttzw0m51048doksv8uq5r,Elche
4grc9qgcvusllap8h5j6gc5h5,Levante
clo928vcczjp0mczavs5o7p5k,Real Oviedo
82q9159y2u7mkfn3z6hy75r4o,Cadiz
26fes5ubaeq0fk1nay2pj2ob2,Granada
cobffe32r7g4skka9m19qib63,Almeria
di8rq9fo3z0bnsx08jljhnnys,AVS
3b4nxgvmwzstmoq6borytkwx1,Boavista
99xu9ofwhlbp0lg1j4eiplgrg,CD Nacional
cmbqc74mshg77ra7mywec2a6b,Santa Clara
ewsf6evtguu9j7k6js4tlgl89,Casa Pia
85nuf5511v5omdretfoh0c4k4,CF Estrela
dich5v7sw466smbqap0d9rbyj,Arouca
5c0sf1eaipcxvdw9o22of2jdp,Famlicao
66bsnl0zjb7l5akwo00h0y5me,Porto
22mo7qbsnyi8wtucpvhgvhw2q,Estoril
bwt8yfk8rkcwiwyr0mopd7wqd,Gil Vicente
4a3yqn3kt1l18oklr7zxo4f1s,Moreirense
cgvbluoerzbzcr7aaxge3wkcv,Rio Ave
4q3s76lhr7sjib1a40ipix0sa,Farense
9ldqu49smv1xg2va0n2cy28zl,Benfica
26t6lvlpql4w5wu1ih73qpy36,Braga
7catg5lpivcmpf4xhggh6d8rk,Sporting
8gvg1ranyf93hprfkwx3ofl2y,Vitoria Guimaraes
7fn0aazbc8nx0u040aulozds1,FC Vizela
alyavx3ad35bp1xuwmqk7sgev,GD Chaves
co1i764h6b02husae71w6scs8,Portimonense
a4hzxqvnwxe9frlt8fvxfmppa,CD Tondela
2f40cprg8nv4stxq2o4yxpx54,FC Alverca
ep3im6aygoatju4u3ws8v3mog,Blackburn Rovers
c5485h5qulh4l0k0py5b9xug1,Bristol City
64bxxwu2mv2qqlv0monbkj1om,Burnley
3ash57c0q2tgok6gvzbsta93,Cardiff
dacoc20k0n3fxu4zek8wufmko,Coventry
3ptd7zlc5isrongig0wij2id4,Derby
f0figafm2v9h8ofo6slajj7xf,Hull City
48gk2hpqtsl6p9sx9kjhaydq4,Leeds
aksa492u5hf93giwcn2zt1nzz,Luton
cq0jd5ztepqjjeikk5trb15vr,Middlesbrough
40d2qd8lr1tgsvmg5l1fzaf4o,Millwall
suz80crpy3anixyzccmu6jzp,Norwich
ahm0t06rup1bkd9z0mxl2lmph,Oxford United
5g1fnexeromjl0lvnxp8hpnhi,Plymouth
80jtkz2echk6yyyb9e2595cxr,Portsmouth
5kq4izdz28qjaxoa6ujclwghj,Preston
72nmbktwvcj3wizfp37yjf0dp,QPR
bws31egwjda253q9lvykgnivo,Sheffield Utd
1musyruv2ufjrjnj6gvdbr8kt,Sheffield Wed
4qioq44vcv619vnyy2rpovk4e,Stoke
1r3545b2dzan8yqa80gtmcjch,Sunderland
410jti6axb01yhvbc0axsp8li,Swansea
4t83rqbdbekinxl5fz2ygsyta,Watford
d1lhefp805y0rcbjqkpu4fq0n,WBA
2x94b2pn1o1tb5l1bbu8x9yu9,Botafogo
1f6qzkdjh8fih5ii1eyqmkolq,Atletico Mineiro
102ykb145wz6dtveg65nistwm,Flamengo
5ponlslulpugdlvd93n9yqu2b,Vasco de Gama
c2r7yor7e9edg7r2mfg44heqe,Ceara SC
bd6vujl7jfv4wtc8gvo1o1t5y,Cruizeiro
e93fgat6j6g86zqul1m3m2kpn,Bahia
7avb9meepw828qkp0tiugzd1b,Juventude
436xob9epu7bzdu7c1zzjjdak,EC Vitoria
2ldx5vhhqfz2rllkgp7wpa744,Fluminense
1vvaya787s5wg5geudzacya7m,Fortaleza
1yd80wg4djlmtgkei51x0x4t6,Gremio
cllomrn9h2sg6vmxy0pdnmups,Mirasol
4ayjm36vlnc5j8jhwpsdwxuph,Red Bull Bragantino
f0td6lvs326lppbwh1fj8v2ls,Corinthians
c7n1isjmpyqt5pj51yekr08wo,Internacional
724zlangqbn2pr3e6rws1c9um,Recife
b9d2xcvxxcwplyp4le9ulnlv9,Palmeiras
1icvp50kgaw8oduqmhyt3iex0,Santos
5p301ikmaba9gesscss3zo745,Sao Paulo
441ion913h05bwxctg48884uh,Goianiense
5h3amvo8ykt01u4h3upw3c5qf,Paranaense
9ri292j4uqvn567soly0xrmrx,Criciuma
5fd9f9bti2cdgb6r1lf8l2bc7,Young Boys
5u18kvqiqhup2vd345dci1069,Basel
btqfm8txcvhi29sddmc9nr68,Lugano
dk531bvjn5bmeonqs9hbbmfgr,Luzern
b9fc1umgats16gk6wr769wh8a,Sion
dty3ktxspuo8ayudnf0egkvx5,St. Gallen
ag3mf21yz4g5ypnqr2j28crqb,Winterthur
3sb3j9l7dbjcalwpirp3u2f9g,Zurich
9dqlf92t42brv71kvaet67tm4,Grasshopper Zurich
ccwv4ymbs3u0q8xaby4hqb0jz,Servette
96jxcq0onij7zd9rwwkal8q1l,Lausanne Sport
dw7wscihb8j6cj5r2maemstci,Stade Lausanne
1zamjwj53fwzcw97cs9awc3hr,Yverdon
6u0uaryouca843tojxzgwulr2,FC Thun
9db4t34qy4owglhvvgwf5l22i,Barnsley
8kreqtde5jdktcib0kg7dknac,Birmingham
f1ni8k09kpdcwmkasi69rl0bz,Blackpool
69t8imcdaqlgfbds2p58596my,Bolton
5pfqedkme2kabtqhkln35pf3l,Bristol Rovers
8mbtyq0has0uu0565fm9t5cdo,Burton
dmz37633qbsvl7gncq5s51yjw,Cambridge
2ezfenuwk3y65p8jdbj55xqt0,Charlton
41pv4kcoqzdkswdzqhll8ellb,Crawley
dv9l02o316cd9hbkxaho2u12f,Exeter
5n5baro467i8s8efkra3nhgux,Huddersfield
2fhm98swvvbztf9cy67juhpas,Leyton Orient
b3vbyitzi3nrw9ehj1eoko219,Lincoln
4hcdmgl41o4blqpbeelu56h7y,Mansfield
761h1nqgu3ogxgvp8ubb71r00,Northampton
5jjqm8h6qm1w4s5f93uubhdrj,Peterborough
egm6z8hhksfg8f6a49jigczxh,Reading
6m5s30n9ej0dqfk1hfyrlkhdw,Rotherham
82kapkjwonlv9j1ui0ytv5sii,Shrewsbury
6xhqd6it53k2s5n7veo817ga4,Stevenage
5adikbrse2tjc3zthxrx8ic2k,Stockport
dmypntcdsl5w8w8pcqs0b8mpj,Wigan
206vnsjv8ho5kpf88y0u2gaic,Wrexham
jv3jh5m5t7qy5t37vwwmnj16,Wycombe
azw1s2jssnjcsj170y9j0feqp,Barnet
5oj03g835apcc9g551do5vm5e,Oldham
bm759tfjxbog9lhge0pbs219p,Blau-Weiss Linz
bonj6qc7po4anunhydmjmi6g5,Salzburg
84gk4ytf9vr8oml51cqyit78w,Austria Wien
39vgp5h6xs9igypqgqq2dobf9,Grazer AK
boxkkgnpn38ywao4kzu7dx58h,LASK
3lcvs7iiylixau81d0lruwsak,Rheindorf Altach
eljjik2vvlpy6d649mgwwivam,SK Rapid
4lauow63npvttmvxgh2koqb0r,Sturm Graz
do3l4dhs0ooog6se728jxc06z,SV Ried
1vli32f09v65mc3vc6yh34z9f,TSV Hartberg
7uh2y9tk3j8dk6zinfu38pygi,WSG Tirol
9pn4d8sj6pmqidrhhlvev437k,Wolfsberger
8fw92w95mzdtzm4vxhsglfopu,Klagenfurt
9ws0f9wf5r8mdigwo0xpzv06v,Austria Lustenau
d6u776z1u68vhap9hp9zjuydw,Argentina U20
9892ealk5ilwe6p6esyxn383z,Australia U20
8j5t166ehedg5j7cule0gvctw,Brazil U20
dji38hagdsdbvpicyptk3ya1h,Chile U20
ezmda6w1an0hf804htq6dbdw0,Colombia U20
6w3o62j2vskty0o5hhfmtg2yl,Cuba U20
c5su71rfho2qdek52ie3w92wp,Egypt U20
5hpwmngudtgits98k5ce2ckjh,France U20
6x786yaxantdgjq0l4a1gc1v,Italy U20
dcwbos9a4ewky1texbtz9sb5d,Japan U20
2csfzqowk5wdjyufr7jam8txd,South Korea U20
9x2gxl6xovekn482lxe6f8tap,Mexico U20
a8lztquljwnour4ls6nniii0u,Morocco U20
as4klflzok9qem1wc0bpxa6yp,New Caledonia U20
tg1nnszuv0zr99ttlya5fy0m,New Zealand U20
24xy1ap3wamomfyyn00rzs79r,Nigeria U20
aaq4dfzfmafbop5976if2z88a,Norway U20
90wmwkbdrgoi8zg5fx3dc6tet,Panama U20
4regxj1097bvl2ktj8nmnb32i,Paraguay U20
aierrdwlhgygpb74jqlk3mgv,Saudi Arabia U20
feancmz08pxur7cxp179ylw0,South Africa U20
239ue2dajds38167m1q320iyi,Spain U20
dm4g3bexmcs96csbeb47l3o5j,Ukraine U20
bo858sll0r8nayyt5smdu3pxs,USA U20
841zp0njrq63yv4fvw6lgf60q,Aberdeen
dvnjvad3p09dugr79gktlrtll,Celtic
g7em7tpuicehjy3wmsbimsee,Dundee
4qdzzur2cuuridyb0jso8mksi,Dundee Utd
1pq8av8ecx28pshgtpkdj36nt,Falkirk
1hcbcuu846pa3iw6qskiws1cu,Hearts
c9ky1957qli8v2lylfga7io8b,Hibernian
enzoyc121va61wtmjf4cm7p3d,Kilmarnock
besu5lkqmra07drq1czpr0tk4,Livingston
